french,fongbe
"Veuillez fermer la porte derrière vous en partant, car le courant d'air dérange les personnes qui travaillent.","Mi kɛnklɛn bo sú hɔn ɔ dó gudo mitɔn hwenu e mi na tɔ́n é, ɖó jɔhɔnmɛhun ɔ ɖò tagba dó nú mɛ e ɖò azɔ̌ wà wɛ lɛ é wɛ."
N'oubliez pas d'éteindre votre téléphone portable avant que la projection du film ne commence officiellement.,Ma wɔn bo cí alokan towe jí cobɔ è na bɛ́ fímu ɔ xlɛ́ ɖò sɛ́n linu ó.
Assurez-vous de bien mélanger tous les ingrédients secs avant de les incorporer à la préparation liquide.,Kpɔ́n ɖɔ emi xò nǔ xúxú lɛ bǐ kplé ganji cobo sɔ́ dó nǔ e è xò kplé é mɛ.
"Pour accéder au bâtiment, il est impératif de présenter votre badge professionnel au agent de sécurité.","Bo na dó byɔ xɔ ɔ mɛ ɔ, é ɖò taji ɖɔ a ni xlɛ́ wuntun azɔ̌ towe tɔn mɛcɔ́tɔ́ ɔ."
"Lorsque vous rédigez votre rapport, pensez à inclure tous les graphiques et les données statistiques nécessaires.","Hwenu e a na ɖò gbeɖiɖó towe wlan wɛ é ɔ, flín ɖɔ emi ɖó na wlan ɖiɖe e ɖò dandan lɛ é bǐ kpo nǔjlɛdonǔwu lɛ kpo."
"Ne traversez pas la rue sans vérifier soigneusement qu'aucun véhicule n'arrive, même sur le passage piéton.","Ma gbɔn ali ɔ jí bo ma kpɔ́n ganji ɖɔ mɔ̌to ɖě kún ɖò sisɛkpɔ wɛ ó ó, é na bo tlɛ nyí ɖò fí e afɔzɔntɔ́ lɛ nɔ gbɔn é ɔ nɛ."
"Avant de soumettre votre candidature, relisez attentivement votre lettre de motivation pour corriger les fautes.","Cobonu a na sɛ́ wema towe dó ɔ, xà wema e mɛ a wlan nǔ dó é ganji bo jla nǔwanyido ɖebǔ ɖó."
"Pour des raisons de sécurité, veuillez attacher votre ceinture et redresser le dossier de votre siège.","Ðó ayijayǐ wutu ɔ, kɛnklɛn bo blá gojiblánú towe bo jlɔ́ azinkpo towe sín gudo."
"Si vous entendez l'alarme sonner, dirigez-vous immédiatement vers la sortie de secours la plus proche.","Enyi a sè alarme sín gbè ɔ, tlolo jɛn a na ɖido ali e sɛkpɔ we hugǎn bɔ è na tɔ́n sín ajijimɛ é jí."
"Lors de votre exposé, parlez distinctement et assez fort pour que toute l'assemblée puisse vous comprendre.","Hwenu e a ɖò nǔ xwlé mɛ wɛ é ɔ, ɖɔ xó céɖécéɖé bo lɛ́ ɖɔ xó syɛnsyɛn bonu tóɖówetɔ́ lɛ bǐ ni mɔ nukúnnú jɛ mɛ."
"Avant de commencer l'exercice, étirez-vous pendant quelques minutes afin de préparer vos muscles à l'effort.","Cobonu a na bɛ́ agbazazɔ́ ɔ, dlɛn agbaza towe nú cɛju klewun ɖé bo na dó sɔnǔ nú kan towe lɛ nú gǎndidó ɔ."
"Afin de préserver l'environnement, veuillez déposer vos déchets dans les bacs de tri appropriés.","Bo na dó cyɔn alɔ ayikúngban ɔ jí ɔ, kɛnklɛn bo bɛ́ nǔ kwijikwiji towe lɛ kɔn dó nǔ e jɛxa lɛ é mɛ."
"Pour activer la machine, appuyez sur le bouton rouge et maintenez-le enfoncé pendant trois secondes.","Bo na dó bló bɔ macinu ɔ na w’azɔ̌ ɔ, zǐn butɔn vɔvɔ ɔ bo hɛn ɖó te nú cɛju atɔn."
"Lorsque vous recevez le colis, vérifiez que son contenu est intact avant de signer le bon de livraison.","Enyi a yí nǔ e è sɛ́dó we é hǔn, kpɔ́n ɖɔ nǔ e ɖ’emɛ lɛ é kún gblé ó cobo ɖó alɔ wema e jí è wlan nǔ ɔ dó é jí."
"Pour participer au jeu, répondez à cette publication en taguant deux amis dans les commentaires.","Bo na do ɖ’alɔ ɖo ayihun ɔ mɛ ɔ, mi yigbe nu xo elɔ bo sɔ xɔntɔn mitɔn we lɛ ɖo commentaires mɛ."
"Avant de vous coucher, n'oubliez pas de brancher votre ordinateur pour qu'il soit chargé demain matin.","Cobonu a na yi mlɔn zan ji ɔ, ma wɔn bo sɔ ɔdinatɛɛ towe do kɔ́mɛ bonu é na charge sɔ zanzan ó."
"En cas de doute sur la procédure, consultez le manuel d'utilisation avant de demander de l'aide.","Enyi a ma kudeji dó lee è na wà nǔ gbɔn é wu ǎ hǔn, kpɔ́n wema e mɛ è na zán nǔ ɔ ɖè é cobo byɔ alɔdó."
"Pour une cuisson parfaite, laissez reposer la viande hors du feu pendant dix minutes avant de la servir.","Bonu lan ɔ na ɖa ganji ɔ, mi jo lan ɔ do bɔ e na gbɔjɛ ɖo myɔ mɛ nu ceju wo cobɔ mi na ɖu."
"Lors de votre inscription, fournissez une copie lisible de votre pièce d'identité en cours de validité.","Hwenu e a na ɖò nyikɔ towe wlan wɛ é ɔ, kɛnklɛn bo na wema e jí è sixu xà nǔ dó é ɖé."
"Si vous souhaitez poser une question, levez la main et attendez que l'enseignant vous donne la parole.","Enyi a jló na kàn nǔ byɔ hǔn, sɔ́ alɔ towe d’aga bo nɔte kpɔ́n mɛ̌si ɔ bonu é na ɖɔ xó nú we."
J'aurais besoin d'un plan détaillé de la ville pour pouvoir me repérer facilement.,"Un na ɖó hudo ɖiɖe toxo ɔ tɔn e è xlɛ́ céɖécéɖé é tɔn, bo na dó sixu mɔ ali e jí un na gbɔn é bɔ é na bɔwǔ nú mì."
"Est-ce que vous auriez la gentillesse de me passer le sel, qui est juste devant vous ?",A na nyɔ́ xomɛ sɔmɔ̌ bo na sɔ́ jɛ̌ e ɖò nukɔn towe tlɔlɔ é jó nú mì à?
Nous recherchons un hôtel calme et confortable pour passer un excellent week-end en amoureux.,Mǐ ɖò otɛli e mɛ cí xwii bo lɛ́ nyɔ́ ɖɛkpɛ é ɖé ba wɛ nú aklunɔzán gblamɛ fifó wanyiyi tɔn ɖagbeɖagbe ɖé.
"Je voudrais réserver une table pour deux personnes, pour ce soir vers vingt heures.","Un jló ná sɔ́ tavo ɖokpó ɖó te nú mɛ wè, nú gbadanu élɔ́ ɖò gan 8 mɔ̌ mɛ zǎnzǎn."
Auriez-vous un instant à m'accorder pour répondre à quelques questions importantes ?,A ka na ɖó hwenu kpɛɖé bo na na xósin nú nǔkanbyɔ taji klewun ɖé lɛ à?
"Pourriez-vous m'expliquer comment fonctionne ce nouvel appareil, s'il vous plaît ?",A ka sixu tinmɛ lee nǔ yɔyɔ̌ enɛ nɔ w’azɔ̌ gbɔn é à?
J'aurais absolument besoin de votre avis éclairé pour m'aider à faire un choix.,Un na ɖó hudo linlin towe e sɔgbe é tɔn tawun bo na d’alɔ mì bɔ un na wá gbeta ɖé kɔn.
Est-ce qu'il serait possible de visiter les locaux afin de voir votre organisation ?,È ka sixu yì fí e è nɔ bló kplé ɖè é bo kpɔ́n tutoblonunu mitɔn à?
Je cherche une personne compétente capable de réparer mon ordinateur qui est en panne.,Un ɖo mɛ e nyɔ nu ganji bo na sixu jla ɔdinatɛɛ ce e gble ɔ ɖo ɔ ba wɛ.
"Pourriez-vous me prêter un stylo, car j'ai oublié le mien à la maison ?","A sixu nya wětín akánnɔ ɖé nú mì à, ɖó un wɔn ce ɖò xwégbe à?"
J'aimerais connaître les horaires d'ouverture de la piscine municipale pour cette semaine.,Un jlo na tuun ganmɛ e mɛ piscine municipal ɔ nɔ hun nu azan elɔ mɛ e.
Nous aurions souhaité des renseignements précis concernant les modalités d'inscription.,Mǐ na ko ba ɖɔ è ni mɔ nǔ tawun tawun ɖé lɛ dó lee è na wlan nyikɔ dó wema mɛ gbɔn é wu.
"Est-ce que quelqu'un pourrait m'aider à porter ces cartons très lourds, s'il vous plaît ?",Mɛɖé ka sixu d’alɔ mì bɔ un na hɛn gbǎví kpɛví kpɛví enɛ lɛ à?
Je voudrais acheter un cadeau original pour l'anniversaire de ma meilleure amie.,Un jló ná xɔ nùnina ɖé nú xɔ́ntɔn ce vívɛ́ ɔ́ sín jigbezán.
Pourriez-vous me donner le prix de ce magnifique vase exposé dans la vitrine ?,A ka sixu ɖɔ zɛn ɖagbeɖagbe enɛ e è sɔ́ ɖó axi ɔ sín flɛtɛli nu é sín akwɛ nú mì à?
J'aurais besoin de conseils avisés pour choisir un vin qui accompagnera ce plat.,Un na ɖó hudo wěɖexámɛ mɛ e tuùn nǔ ganji lɛ é tɔn dó vɛɛn e è na ɖu xá nǔɖuɖu enɛ é ɖé xixo wu.
Est-ce que vous pourriez vérifier la disponibilité de ce livre dans votre magasin ?,A ka sixu kpɔ́n ɖɔ wema elɔ ɖò axi towe mɛ à jí?
"Je recherche désespérément mes clés de voiture, les auriez-vous vues quelque part ?","Un ɖo mɔto ce sin cavi lɛ ba wɛ kpodo xɛsi kpo, a mɔ ye ɖo fiɖe a ?"
Pourriez-vous me rappeler mon rendez-vous chez le dentiste par un petit message ?,A ka sixu flín mì aɖuzɔnnɔ ce kpo wɛn klewun ɖé kpo à?
J'aimerais beaucoup apprendre à cuisiner ce plat typiquement français et délicieux.,É na nyɔ́ nú mì tawun ɖɔ má kplɔ́n lee è nɔ ɖa nǔɖuɖu enɛ e è nɔ ɖa ɖò Flanségbe mɛ bo nɔ víví é gbɔn é.
Auriez-vous la possibilité de garder mon chat pendant mes prochaines vacances d'été ?,A ka na kpéwú bo na kpé nukún dó xɛ ce wu ɖò gbɔjɛ ce e ja é hwenu à?
"Je souhaiterais échanger ce pantalon contre une taille au-dessus, s'il vous plaît.","Un jló ná ɖyɔ cokoto élɔ́ kpódó ɖaxó ɖé kpó, kɛnklɛ́n."
"Pourriez-vous me dire à quelle heure commence le prochain spectacle, je vous prie ?",A sixu ɖɔ gan nabi e mɛ nǔwiwa e bɔ d’ewu é na bɛ́ é nú mì à?
J'aurais besoin de vos lumières pour comprendre ce problème complexe de mathématiques.,Un na ɖó hudo nukúnnúmɔjɛnǔmɛ towe tɔn cobo na mɔ nukúnnú jɛ tagba nǔjlɛdonǔwu tɔn enɛ e vɛwǔ é mɛ.
Est-ce qu'il y a une pharmacie de garde ouverte cette nuit dans le quartier ?,Atínkɛ́nxɔsa e nɔ hun ganxixo 24 ɖò zǎn elɔ mɛ é ɖé ka ɖò xá ɔ mɛ à?
"Je voudrais signaler un problème de voirie, un nid-de-poule dangereux sur la route.","Un jló na ɖɔ tagba ali jí tɔn ɖé, dotɔ awovinú ɖé ɖò ali ɔ jí."
Pourriez-vous me donner l'adresse exacte du consulat afin d'y faire renouveler mon passeport ?,A sixu na mi adrɛsi consulat ɔ tɔn pɛ́pɛ́pɛ́pɛ́pɛ́ bonu un na dó sixu vɔ́ passeport ce blóɖó ɖò finɛ à ?
J'aurais besoin d'un peu de silence pour pouvoir me concentrer sur mon travail important.,Un na ɖó hudo abwɛ kpɛɖé tɔn bo na dó sixu sɔ́ ayi ɖó azɔ̌ taji ce jí.
Est-ce que vous pourriez me recommander un bon restaurant typique dans ce quartier animé ?,A ka sixu ɖɔ nǔɖutɛn ɖagbe e è nɔ ɖu nǔ ɖè é ɖé nú mì ɖò xá e mɛ gbɛtɔ́ lɛ nɔ sukpɔ́ ɖè é à?
oleil éclatant aujourd'hui.,Hwesivɔ ɖaxó ɖé ɖò jiji wɛ égbé.
Ciel gris et pluvieux.,Jinukúnsin afínnɔ kpo jǐ kpo.
Vent frais du matin.,Jɔhɔn fífá zǎnzǎn tɔn.
Orage violent cette nuit.,Jǐ ɖaxó ɖé ja zǎn élɔ́ mɛ.
Brouillard épais dehors.,Ahún ɖaxó ɖé ɖò kɔxota.
Neige fraîche tombée.,Laglási yɔyɔ̌ ɖé ja.
Route glissante dangereuse.,Ali ɖiɖí e ɖó awovinú é.
Chaleur étouffante ici.,Zozo ɖaxó ɖé ɖò fí.
Froid glacial mordant.,"Aɖu, fifa laglasi tɔn."
Arc-en-ciel magnifique.,Avɔkanfún ɖɛkpɛɖɛkpɛ.
Mer calme et plate.,Xù e fá bo lɛ́ tlí é.
Vagues puissantes déferlent.,Tɔsisa hlɔnhlɔnnɔ lɛ nɔ gbà dó mɛ.
Forêt dense et sombre.,Zùn ɖaxó ɖaxó e ɖò ablu mɛ é.
Montagne enneigée majestueuse.,Só ɖaxó ɖaxó e jí laglasi ɖè é.
Désert aride immense.,Gbetótló ɖaxó ɖé wɛ bo xú.
Pain chaud croustillant.,Wɔ̌xúxú e gɔ́ngɔ́n bo xú é.
Musique douce ambiance.,Han e ɖò gudo lɛ é bɔkun.
Silence pesant étrange.,"Nǔ cí cící ɖé bɔ é jiwǔ, bo syɛn."
Foule bruyante compacte.,"Zǐngídi, agǔn ɖaxó ɖé."
Ville animée nuit.,Toxo e mɛ gbɛtɔ́ lɛ nɔ nɔ é ɖò zǎnmɛ.
Campagne paisible reposante.,"Gletoxo e mɛ fífá ɖè, bo nɔ lɛ́ fá kɔ nú mɛ é."
Chambre en désordre.,Xɔ e mɛ nǔ kwijikwiji ɖè é.
Maison vide triste.,Xwé vɔ̌tɔ́ blawu.
Regard perçant bleu.,Nukún blúblú e nɔ tɔ́n lɛ é.
Sourire éclatant sincère.,"Nukiko ɖagbe ɖé, bo nyí nǔgbo."
Visage fatigué marqué.,"Nukúnmɛ e nǔ cikɔ na, bɔ è ɖó wuntun é."
Atmosphère tendue lourde.,"Jɔhɔn syɛnsyɛn, syɛnsyɛn."
Couleurs vives chatoyantes.,Kúlu e nɔ kɔ́n bo nɔ kɔ́n lɛ é.
Bougez chaque jour.,Nɔ sɛ̀ tɛn ayihɔngbe ayihɔngbe.
Je n'ai rien vu.,un mɔ nǔɖé ǎ.
On ne peut pas.,Mǐ sixu ǎ.
Ne parle plus.,Mi ɖó xóɖiɖɔ te.
Il n'a rien dit.,É ɖɔ xó ɖé ǎ.
Il ne répond plus.,É sɔ́ ɖò xósin na wɛ ǎ.
Je n'en veux pas.,Un ba ǎ.
Ne jamais céder.,Ma jó gbè gbeɖé ó.
Toujours pas.,Nǔtí kpó ɖò finɛ ǎ.
Pas tout de suite.,É nyí tlolo ǎ.
"Le soleil couchant embrase l'horizon d'une palette flamboyante de pourpre et d'or, annonçant une nuit paisible.","Hwe e ɖò xɔ yi wɛ é nɔ kɔ́n kɔ́mɛ kpo sinmɛ vɔvɔ kpo siká kpo e nɔ kɔ́n é ɖé kpo, bo nɔ jla fífá zǎn ɖé tɔn."
"Cette vieille maison en pierre, aux volets bleus fatigués, semble raconter des histoires d'un autre siècle à qui sait l'écouter.",Xwé xóxó enɛ e è sɔ́ awinnya dó bló bɔ é ɖó hɔnsúnú blúblú e nǔ cikɔ na lɛ é é cí ɖɔ é ɖò tan xwè kanweko ɖevo tɔn lɛ ɖɔ nú mɛ ɖěɖee tuùn tóɖiɖó lɛ é wɛ ɖɔhun.
"Son regard, d'un bleu profond et lumineux, reflétait une sagesse infinie et une douceur réconfortante.",Nukún tɔn e nyí blɔɖó gɔngɔn ɖé bo nɔ kɔ́n é nɔ ɖè nùnywɛ ma ɖó dogbó kpo xomɛfífá e nɔ dó gbɔ nú mɛ é kpo xlɛ́.
"Le brouillard matinal enveloppe la vallée d'un voile cotonneux, étouffant les sons et créant une atmosphère mystérieuse.","Ahún e ɖò zǎnzǎn é nɔ sɔ́ avɔ e è sɔ́ avɔkanfún dó bló é ɖé dó cyɔn tɔdo ɔ mɛ, bo nɔ sú gbè lɛ dó, lobo nɔ lɛ́ bló bɔ jɔhɔn e ɖò nǔglɔ é ɖé nɔ tíìn."
"La rue animée du marché grouille de vie, un tourbillon de couleurs, d'odeurs d'épices et de cris joyeux de commerçants.","Axi ɔ sín ali e jí gbɛtɔ́ lɛ nɔ ɖò xixo wɛ é nɔ gɔ́ nú gbɛ̀, jɔhɔn e nɔ hɛn nǔ cí mɔ̌ é, nǔhwɛ́nkún sín wǎn kpo ajɔ̌tɔ́ lɛ sín awǎjijɛ sín xósusu kpo."
"L'orage gronde au loin, un roulement sourd et menaçant qui fait vibrer l'air et annonce la pluie imminente.","Jɔhɔn ɖaxó ɔ ɖò gbè sú wɛ ɖò zɔ, gbè ɖé wɛ bɔ é cí xɛsi ɖɔhun bo nɔ dó xɛsi mɛ, bo nɔ zɔ́n bɔ jɔhɔn nɔ húnhún, bo nɔ jla jǐ e ɖò sisɛkpɔ wɛ é."
"Il portait un costume gris parfaitement coupé, d'une élégance discrète qui en disait long sur son souci du détail.","É dó awu afínnɔ e è bló ganji é ɖé, bo ɖó ɖɛkpɛ e ɖò hwlahwlá é ɖé, bɔ enɛ xlɛ́ lee é nɔ sɔ́ ayi ɖó nǔ kpɛví kpɛví lɛ jí gbɔn é."
"Un parfum délicat de jasmin et de pain chaud s'échappe de la fenêtre entrouverte, promesse d'un instant de bonheur simple.","Jasmin kpo wɔxúxú zozo kpo sín wǎn ɖagbeɖagbe ɖé nɔ tɔ́n sín flɛtɛli e ɖò nuvo akpáxwé ɖé é jí, bo nɔ d’akpá awǎjijɛ klewun ɖé tɔn."
"La bibliothèque municipale, avec ses hautes fenêtres et son imposante porte en chêne, invite au calme et à la connaissance.","Wemaxɔ toxo ɔ tɔn, kpo flɛtɛli tɔn gaga lɛ kpo, kpodo hɔn tɔn e è sɔ́ atín e nɔ nyí oak é dó bló é kpo nɔ dɔn fífá kpo nǔnywɛ kpo wá."
"Son rire cristallin résonna dans la pièce, une musique légère qui balaya immédiatement la morosité ambiante.","Nǔkiko tɔn e cí kristalu ɖɔhun é nɔ ɖi gbè gbɔn xɔ ɔ mɛ, han ɖé wɛ bo nɔ hɛn ablu e lɛlɛ̌ dó è é gblé tlolo."
"Les vagues viennent mourir paresseusement sur le sable fin, laissant une dentelle d'écume blanche et éphémère.","Tɔsisa ɔ nɔ wá kú fɔnlín ɖò kɔ́ ɖagbeɖagbe ɔ jí, bo nɔ jó fɛ́n wewé e nɔ nɔ ayǐ nú táan klewun ɖé é ɖé dó."
"Le vieux professeur ajusta ses lunettes, ses doigts tachés d'encre feuilletant un manuscrit précieux avec une infinie précaution.","Mɛ̌si kpikpo ɔ jla cícá tɔn lɛ ɖó, bɔ alɔví tɔn e mɛ è sɔ́ ink dó lɛ é ɖò alɔnuwema xɔ akwɛ ɖé xà wɛ kpo linlin e ma ɖó dogbó ǎ é kpo."
"Un sentiment de quiétude absolue régnait dans ce jardin secret, bercé par le bourdonnement discret des abeilles.","Fífá bǐ mlɛ́mlɛ́ ɖé ɖò jikpá enɛ e ɖò nǔglɔ é mɛ, bɔ xɛ e nɔ xò nǔ kpɔ́n ɖò nǔglɔ lɛ é nɔ fá kɔ nú mì."
"Cette toile abstraite est une explosion de couleurs vives, un chaos organisé qui semble pulser d'une énergie propre.","Avɔ enɛ e è ma nɔ mɔ nǔ jɛ wu ǎ é nyí nǔ e è sɔ́ sinmɛ vovo lɛ dó bló é ɖé, bo nyí nǔ e è bló tuto na é ɖé, bɔ é cí ɖɔ é ɖò xixo wɛ kpo hlɔnhlɔn éɖesunɔ tɔn kpo ɖɔhun."
"La neige fraîche recouvre la ville d'un silence feutré et immaculé, transformant le paysage familier en un décor féerique.","Laglási yɔyɔ̌ ɖé cyɔn toxo ɔ jí ɖò cícící mɛ, bo ma ɖó blɔ̌ ǎ, bo huzu ayikúngban e è ko tuùn é dó xɛxó ɖé mɛ."
"Son visage, marqué par les années et les épreuves, portait pourtant l'empreinte d'une sérénité et d'une bonté profonde.","É ɖò mɔ̌ có, nukúnmɛ tɔn e mɛ xwè lɛ kpo wuvɛ̌ lɛ kpo ɖè é ka ɖó wuntun fífá kpo xomɛnyínyɔ́ kpo tɔn ɖaxó ɖé tɔn."
"Le café fumant dans sa tasse blanche dégageait un arôme riche et corsé, promesse d'une pause réconfortante dans la journée.","Kafée e ɖò zo jí ɖò acíví tɔn wewé ɔ mɛ é nɔ ɖè wǎn ɖagbe ɖé tɔ́n bo nɔ gɔ́ngɔ́n, bo nɔ d’akpá ɖɔ è na gbɔjɛ ɖò kéze ɔ mɛ."
"La cathédrale se dressait fièrement au cœur de la vieille ville, ses flèches de pierre semblant vouloir toucher le ciel.","Katɛdralu ɔ nɔte kpo goyiyi kpo ɖò toxo xóxó ɔ tɛntin, bɔ xɔ tɔn e è sɔ́ awinnya dó bló lɛ é cí ɖɔ ye yì jǐ kaka yì jinukúnsin ɖɔhun."
"Il marchait d'un pas déterminé, le regard fixé droit devant lui, ignorant le tumulte de la foule autour de sa personne.","É ɖi zɔnlin kpo kanɖodonǔwu kpo, bo kpɔ́n nukɔn tlɔlɔ, bo gɔn ayi ɖó zǐngídi e mɛ e lɛlɛ̌ dó è lɛ é ɖò xixo wɛ é jí."
"L'enfant contemple le ciel étoilé, les yeux grands ouverts, perdu dans un océan d'étoiles et de rêves infinis.","Vǐ ɔ ɖò sunví lɛ kpɔ́n wɛ ɖò jinukúnsin, bɔ nukún tɔn lɛ ɖò te, bo bú ɖò sunví lɛ sín xù ɖé mɛ, bo ɖò dlɔ̌ e ma nɔ fó ǎ lɛ é kú wɛ."
"Le vent d'automne fait danser un tourbillon de feuilles mortes aux teintes cuivrées, créant un bruissement sec et mélancolique.","Jɔhɔn e nɔ tɔ́n ɖò jǐ hwenu é nɔ bló bɔ ama kúkú e ɖó sinmɛ ganvɔ tɔn lɛ é sín jɔhɔn ɖaxó ɖé nɔ ɖu we, bo nɔ bló bɔ è nɔ sè gbè xúxú ɖé bo nɔ lɛ́ dó aluwɛ mɛ."
"Le silence dans la salle d'audience était si pesant qu'on aurait entendu une mouche voler, avant la lecture du verdict.",Nǔ e ɖò hwɛɖɔxɔsa ɔ é cí cúɖúɖú ɖɔhun kaka bɔ a sixu ko sè bɔ è na xò pin ɖé zlɛ cobɔ è na xà hwɛ ɔ.
"Sa voix grave et posée avait le pouvoir d'apaiser les esprits les plus tourmentés, comme une caresse sonore.","Gbè tɔn e gɔ́ngɔ́n bo fá é ɖó hlɔnhlɔn bo na fá xomɛ nú ayi e tlɛ ɖò wuvɛ̌ sè wɛ hugǎn lɛ é, ɖi gbè e è nɔ dó xò mɛ na é ɖɔhun."
"Le tableau noir était couvert d'une équation complexe, un enchevêtrement de symboles mystérieux pour le non-initié.","È sɔ́ nǔjlɛdonǔwu e vɛwǔ é ɖé dó cyɔn tavo ɔ jí, wuntun e è xò kplé bo nyí nǔbudo nú mɛ e ma tuùn nǔ ǎ lɛ é."
"La mer étale scintillait sous le soleil de midi, une nappe de lumière aveuglante à l'horizon infini.","Xù e ɖò cícící é nɔ kɔ́n ɖò hwesivɔ zǎnzǎnhweji tɔn glɔ́, bɔ weziza ɖé nɔ kɔ́n ɖò jǐxwé ma ɖó dogbó ɔ."
"Il portait en bandoulière une vieille guitare usée, compagnon de route muet mais prometteur de mille mélodies futures.","É hɛn han xóxó e ko gblé é ɖé bo tɛ́ dó abɔta tɔn jí, é nyí xɔ́ntɔn tɔn e ɖò cícící wɛ é ɖé, amɔ̌, é ɖó nukúnɖiɖo ɖò ali ɔ jí, bo gɔ́ nú han sɔgudo tɔn afatɔ́n."
"Un délicat parfum de pluie sur la terre sèche, l'odeur du ""petunija"", montait du sol fraîchement arrosé par l'averse.","Jǐ sín wǎn ɖagbeɖagbe ɖé ɖò ayikúngban xúxú ɔ jí, &quot;petunija&quot; sín wǎn, nɔ tɔ́n sín ayikúngban e jí jǐ ɖaxó ɔ kɔn sìn dó é jí."
"Le bruit des talons aiguilles claquait sur le pavé luisant, rythme urbain et pressé d'une femme élégante.","Afɔkpa e è sɔ́ afɔkpo dó bló na lɛ é sín gbè nɔ xò zlɛ ɖò ali e jí è nɔ gbɔn bo nɔ kɔ́n é jí, é wɛ nyí gbè e nyɔnu ɖɛkpɛɖɛkpɛ ɖé nɔ xò ɖò toxo ɔ mɛ bo nɔ yawu xò é."
"La montagne se découpait, massive et altière, sur le ciel bleu profond du petit matin, un géant de roche et de glace.","Só ɔ tɔ́n ɖò jǐnukúnsin blúblú gɔngɔn e ɖò zǎnzǎn tɛɛn é nukɔn, bo ɖaxó bo lɛ́ xɔ akwɛ, bo nyí só kpo laglasi kpo ɖaxó ɖé."
"Son sourire bienveillant et ses yeux pétillants mettaient instantanément ses interlocuteurs à l'aise, quel que soit le sujet.","Nukiko xomɛnyínyɔ́ tɔn kpo nukún tɔn e nɔ kɔ́n lɛ é kpo nɔ zɔ́n bɔ mɛ e é ɖò xó ɖɔ xá wɛ lɛ é nɔ vo tlolo, enyi xóta ɖebǔ wɛ é na bo nyí ɔ nɛ."
Veuillez impérativement éteindre vos téléphones portables avant que la projection du film ne commence dans la salle obscure.,Mi kɛnklɛn bo hɛn dó ayi mɛ ɖɔ mi na sú alokan mitɔn lɛ cobɔ è na bɛ́ fímu ɔ ɖiɖe ɖò xɔ e mɛ ablu gɔ́ é mɛ.
"Pour réussir cette recette traditionnelle, tu dois impérativement respecter les temps de repos indiqués pour la pâte.","Bo na dó ɖu ɖò nǔɖuɖu aca tɔn enɛ jí ɔ, a ɖó na ɖó sísí nú gbɔjɛ hwenu e è ɖɔ nú wɔxúxú ɔ é bǐ mlɛ́mlɛ́."
N'oubliez surtout pas de bien verrouiller la porte d'entrée derrière vous en partant ce soir.,Ma wɔn bo sú hɔn nukɔntɔn ɔ ganji ɖò gudo towe hwenu e a na tɔ́n zǎn elɔ mɛ é ó.
"Avant de commencer l'exercice, je vous demande de lire attentivement toutes les consignes qui sont affichées au tableau.","Cobonu a na bɛ́ azɔ̌ ɔ, un byɔ we ɖɔ a ni xà alixlɛ́mɛ e è xlɛ́ ɖò tavo ɔ jí lɛ é bǐ ganji."
Il faudrait que tu ranges soigneusement ta chambre avant que nos invités n'arrivent pour le dîner.,A ɖó na jla xɔ towe ɖó ganji cobɔ jonɔ mǐtɔn lɛ na wá ɖu gbadanu nùɖuɖu.
Vous devez absolument garer votre véhicule uniquement sur les places qui sont strictement réservées aux visiteurs.,Fí e è sɔ́ ɖó vo nú jonɔ lɛ tawun lɛ é kɛɖɛ jí wɛ a ɖó na sɔ́ mɔ̌to towe ɖó dandan.
"Ne touche surtout pas à ce vase en cristal, il est très fragile et a une grande valeur sentimentale.",Ma ɖ’alɔ zɛn kristalu tɔn enɛ wu ɖò ninɔmɛ ɖebǔ mɛ ó; é nɔ fɛ́n tawun bo lɛ́ ɖó lè ɖaxó ɖò lee nǔ nɔ cí nú mɛ é linu.
Je vous serais reconnaissant de bien vouloir confirmer votre présence à la réunion avant vendredi midi.,"Enyi a sixu ɖexlɛ́ ɖɔ emi wá kplé ɔ cobɔ zǎnzǎn tɛɛn ɖò Vɔsanúxwlémawutɔ́zɔ́ ɔ hwenu ɔ, é na sù nukún ce mɛ tawun."
"Vous êtes priés de ne pas vous garer devant l'entrée du garage, car une dépanneuse doit passer.","Kɛnklɛn ma sɔ́ mɔ̌to ɔ ɖó mɔ̌toɖ’ayǐtɛn ɔ sín hɔntogbo nukɔn ó, ɖó mɔ̌to e nɔ dɔn mɔ̌to é ɖé ɖó na gbɔn finɛ."
"Pour ouvrir ce coffre-fort, il faut d'abord composer le code secret, puis tourner la molette vers la droite.","Bo na dó hun akwɛgbá enɛ ɔ, a ɖó na wlan kodɛ e ɖò nǔglɔ é jɛ nukɔn, enɛ gudo hǔn, a na lilɛ nǔ e jí è nɔ wlan nǔ dó é dó ɖisixwé."
"Ne traverse surtout pas la rue sans avoir soigneusement regardé des deux côtés, même sur un passage piéton.","Ma gbɔn ali ɔ jí bo ma kpɔ́n ali wè lɛ bǐ ganji ó, é na bo tlɛ nyí ɖò fí e afɔzɔntɔ́ lɛ nɔ gbɔn é ɔ nɛ."
"Afin d'éviter tout malentendu, nous vous prions de bien vouloir formuler votre demande par écrit.","Bo na dó nyì alɔ nú nukúnnúmɔjɛnǔmɛ agɔ ɖebǔ ɔ, mǐ byɔ we ɖɔ a ni wlan nǔ e ba wɛ a ɖè é dó."
