fon,fr
Hwɛ towe nyɔ́ ă,Ton jugement n'est pas bon.
e vɔ nɔ wli gan mε gugu a,le temps perdu ne se rattrape jamais
"Bo na dó tuùn lee è nɔ ɖótó han xóxó ɖé gbɔn é ɔ, è nɔ sè mɛ ɖěɖee ɖu we jɛ nukɔn nú mǐ ɖò ayikúngban e jí mǐ nɔ ɖi zɔnlin gbɔn é jí lɛ é sín gbè.","Savoir écouter une vieille chanson, c'est entendre la voix de ceux qui ont dansé avant nous sur le sol que nous foulons."
"Izlayɛ́li togun ɔ́ ní ɖɔ mɔ̌. Sín dɔ̌nkpɛ mɛ ce ɖokpóó wɛ kɛntɔ́ kó ɖo ahwan tɔ́n mì wɛ, amɔ̌, yě ká ɖu ɖo jǐ ce ǎ.","souvent ils m’ont attaqué depuis ma jeunesse, mais ils ne l’ont pas emporté sur moi."
kokló ɔ́ wú hwìsó,les ergots du poulet ont poussé
E bɔ̀ nu,Il est mort.
gŭ,niais
mε lulú,niais
mεlulú,niais
xlŏnɔ̀,niais
yɛyinɔ̀,niais
yeyunɔ̀,niais
Un gbɛ̆ ă,Je ne refuse pas.
Ayikungban kpikpo,Une terre stérile.
A sìxú nɔ́ hɛ̀n hwiɖéé à wɛ́ à ?,Ne peux-tu pas te maîtriser ?
Yè klán gbè,Ils ne s’entendent plus.
é bló ganjí,il a fait comme il convient
"Mɛ kpaa e nɔ wa azɔ̌ ɖo Mawu xwé lɛ́ɛ é ɖíe: Siha ví lɛ́ɛ, Hasafu ví lɛ́ɛ, Tabawɔ́ti ví lɛ́ɛ,","Néthiniens : les fils de Tsicha, les fils de Hasupha, les fils de Thabbaoth,"
"Nǔ ɖěbǔ yagba kanlin ɔ́ sín lan wú ɔ́, é ná húzú nǔ mímɛ́. Ényí kanlin ɔ́ sín hun kɔn nyi awu ɖé mɛ ɔ́, tɛn mímɛ́ mɛ wɛ è nǎ gbo fí e hun ɔ́ kɔn nyi ɔ́ nya ɖe.","Quiconque en touchera la chair sera sanctifié. S'il en rejaillit du sang sur un vêtement, la place sur laquelle il aura rejailli sera lavée dans un lieu saint."
é ɖíɖá agban ɖó ta,il a porté le fardeau sur la tête
yovozεntin kpodo kletin kpo nɔ su ɖo yozo to mε,l'oranger et le citronnier poussent dans les pays chauds
Zozo nɔ hεn mi gbeɖe a.,Je n’ai jamais chaud
Nǔgbo kpo nǔ e mɛ é na tɔ́n kɔ dó é kpo.,Vérité et conséquence.
un tɔn a ɖo tɔ ce ɖo finɛ,je ne suis pas sorti parce que mon papa est présent
Jì ɔ́ hun sìn,Il a commencé à pleuvoir régulièrement.
zan ɔ gwlε,sous le lit
Ɖo avɔ gwele,Sous la couverture
E glɔ́n ɛ̀ ɖó dotóxwé,Il l’a hospitalisé.
"Gbè ɔ sín sɛ́n nyí mɛɖéesɔ́hwe ɖé, linlin ɖagbeɖagbe e nɔ hwíhwɛ́ éɖée dó bǔninɔ glɔ́ é ɖé wɛ.","La grammaire est une politesse du langage, une élégance de la pensée qui se soumet à l'harmonie."
"Un na ɖó hudo hwenu ɖevo tɔn cobo na sɛ́ gbeɖiɖó elɔ dó, ɖó un ɖò te kpɔ́n nǔ taji e gbɛ̌ta mǐtɔn e ɖò Lyon é na na mì lɛ é wɛ.","J'aurais besoin d'un délai supplémentaire pour rendre ce rapport, car j'attends des données cruciales de notre équipe à Lyon."
é kpéto,du buzz
Mi nú mǐ nǎ kpa Mawu Mavɔmavɔ káká sɔ́yi. Amǐ! Amǐ!,Béni soit pour toujours le Seigneur ! Qu’il en soit ainsi ! Qu’il en soit ainsi !
mɛ e ɖì nù nú mí é ná bó kú ɔ́ é ná nɔ̀ gbɛ̀,celui qui croit en moi ne mourra jamais
a wa xwé bɔ̀ a sìxú wá dó gbe mì vɔ́vɔ́ ă,tu es venu à la maison et tu ne m'as même pas salué
Xo hun,Jouer du tam-tam
E dó avaja kplé ɔ́ mɛ̀,Il a créé du trouble dans la réunion.
"Yayíi yí Aagɔ́vu to ɔ́ bǐ káká jɛ to Gɛcúunu lɛ́ɛ kpó Maakatinu lɛ́ɛ tɔn kpó sín dogbó jí. Yayíi ɔ́, Manasée kún mɛ wɛ é jɔ ɖe. É ná nyǐkɔ tɔn Basáni to ɔ́, bɔ è nɔ ylɔ́ fínɛ́ ɖɔ gletoxo Yayíi tɔn lɛ́ɛ. Nyǐkɔ énɛ́ ɔ́ kpo ɖo te káká jɛ égbé.","Jaïr, fils de Manassé, prit toute la contrée d'Argob jusqu'à la frontière des Gueschuriens et des Maacathiens, et il donna son nom aux bourgs de Basan, appelés encore aujourd'hui bourgs de Jaïr."
Mǐ na yì ba nǔ e ɖò xɔgbigbázɔ́watɛn enɛ é kpɔ́n ɖò aklunɔzán gbla e jǎwe é mɛ.,Nous allons visiter ce musée la semaine prochaine.
é hɔ̀n nú mì,il m'a fui
Xɛsi ɖaxó ɖé jɛ jǐ ce. Wi e ɖo ta ce ɔ́ kɔ́n jɔhɔn wɛ zé ɖɔhun. Nyɔ̌ná e un ɖó ɔ́ gbadó akpɔ́kpɔ́ ɖɔhun.,"Les terreurs m'assiègent ; Ma gloire est emportée comme par le vent, Mon bonheur a passé comme un nuage."
É ci te yɛjɛ lobé ɖò nù kpɔ́n wɛ̀,Il est resté bêtement debout à regarder.
Un ɖò azɔ̌gbɛ́ ce e nɔ dó Glɛnsigbe kpo Allemand kpo é ba wɛ nú tɛn e mɛ un na nɔ é ɖò sun e ja é mɛ.,Je recherche un collaborateur bilingue anglais-allemand pour un poste à pourvoir dès le mois prochain.
un kplɔn nuɖe lε ɖo wema ɖokpo mε,j'ai appris quelques mots avec un livre
un ɖo awadjidjè mɛ,je suis en joie
so ny'àwăn,il tonne
A hεn a na tɔn.,Tu peux sortir
"Nú a lɛ gle ɔ́, ayǐkúngban sɔ́ ná ná dɔkun tɔn we ǎ; a nǎ nɔ fí ɖokpó ɖo ayǐkúngban ɔ́ jí ǎ; a nǎ nɔ́ ɖo flúflú kpé wɛ.”","Quand tu cultiveras le sol, il ne te donnera plus sa richesse. Tu seras errant et vagabond sur la terre."
Nyɛ ɖokpónɔ́ wá sá xwé ɖo fí jɛ nukɔ̀n,J’ai été le premier à m’installer ici.
mi na jla gbɔn internet ji,nous communiquons par internet
"Mawu Mavɔmavɔ ní vívá kún nú mɛ e nɔ víví nu lɛ́ɛ, é ní vívá kún nú mɛ e nɔ dó jimakplɔ́ngbe lɛ́ɛ,","Que l'Éternel extermine toutes les lèvres flatteuses, La langue qui discourt avec arrogance,"
Xomɛ ɖò nù wá xá mí wɛ̀,J'ai mal à l'estomac.
Akwέ tɔ́n gódógodó wὲ,C’est réellement son prix.
Mi kɛnklɛn bo na mǐ sɛ́n mitɔn lɛ kpo nǔ e mi nɔ sà lɛ é kpo.,Merci de nous indiquer vos conditions générales de vente.
Vì ma jì,Sans enfants
xɛ ɔ lɛ́ xú bɛ́ wè dawé ɔ́,l'oiseau redonna deux coups de bec à l'homme
Awii ɔ ba tεnmε ɖo avɔgba ta,Le chat s'est installé sur une armoire.
E ló dŏ,C’est résistant.
xó ɔ́ hɛ̀n hùn nú mì,cette affaire me préoccupe
Atɔɔngɔ ɔ,Cinquième
fí tɛ́ e ji i ɖè,où est
Gbadé élɔ́ víví,Ce maïs a une saveur agréable.
yì hwὲ gbé,aller soutenir une action en justice
É kò lĭkpà,Il a ri à tort et à travers.
nɔ w'azɔ tɛgbɛ,travaille toujours
É zé ta ɖo kɛ́n,Il a penché la tête.
"Sɔ́ nǔnywɛ́ ɖó tɛn ɖaxó mɛ; énɛ́ ɔ́, é ná sɔ́ we d'aga. A kplá así kɔ n'i ɔ́, é ná wlí yɛ̌yi nú we.","Exalte-la, elle t’élèvera ; elle fera ta gloire, si tu l’étreins ;"
Ee nyi ɖɔ to ɖokpoɖokpo yi gbe bo na ɖo sisi nu acɛ e gbɛtɔ lɛ ɖo kpodo mɛɖesusijijɛ taji kpo ɖó alɔ ɖo alɔmɛ xa to lɛ bi sin kplekple é ɔ,"Considérant que les états membres se sont engagés à assurer, en coopération avec l'organisation des nations unies, le respect universel et effectif des droits de l'homme et des libertés fondamentales."
tintɔn wɛ un ɖe,c'est que je suis en train de sortir
Un gosin Glexwe,Je viens de Ouidah
Daagbo ɔ ze cici tɔn bo na ɖo xa nu,Grand-père prend ses lunettes pour lire.
"Izáki ka ɖɔ n'i ɖɔ: “Étɛ́, vǐ ce, a ko yi hu bó wá din nɛ́ a?” Bɔ Jakɔ́bu yí gbe n'i ɖɔ: “Mawu Mavɔmavɔ, Mawu towe wɛ ɖe lan ɔ́ wá nú mì bɔ un hu.”","Isaac dit à son fils: Eh quoi! tu en as déjà trouvé, mon fils! Et Jacob répondit: C'est que l'Éternel, ton Dieu, l'a fait venir devant moi."
"Mi ná ná nyibúsú ɖokpó, agbo ɖokpó, lɛ̌ngbɔ́ví e ɖó xwe ɖokpó ɔ́ tɛ́nwe nyɛ Mawu Mavɔmavɔ, bɔ è nǎ dó sá vɔ̌ e è nɔ dó zo, bɔ é nɔ́ fyɔ́ bǐ, bɔ wǎn tɔn nɔ́ nyɔ́ se nú mì ɔ́ nú mì. Blɔ̌ ɖěbǔ ká ná ɖo kanlin énɛ́ lɛ́ɛ wú ǎ.","Vous offrirez en holocauste un sacrifice consumé par le feu, d'une agréable odeur à l'Éternel : un taureau, un bélier, et sept agneaux d'un an sans défaut,"
"Kofi nu sin ă, e ka lε nu ahan a.","Kofi n'a pas bu d'eau, et même pas d'alcool"
un ná yì cyɔ́nú dò mɛ̀,je vais aller à la cérémonie mortuaire
E ɖɔ nu nyaɖe ɖɔ asi tɔn kun nyɔ ɖεkpε o. E ɖɔ,Fi e nyɔ ɖεkpε do ɔ emi ɖokponɔ wε tun'
"Azɔn ɖokpo ɔ, ye jó akló ɔ kpodo tɔ́ yetɔn kpo dó, bo xwedó e","Eux, aussitôt, laissant la barque et leur père, le suivirent."
Mì ná gbò xɔ ɔ ɖó wè,Nous allons séparer la chambre en deux.
Blŏ alɔkpà ɖĕvo,Fais d'une autre façon.
E lɛ gle tɔn,Il a cultivé son champ.
sɔ́ mε sì,honorer
zɛn gbigba nyɔ ɖɛkpɛ,le vase brisé était beau
dètín élɔ́ sín wunsungblɛ́n jló ná j'àyĭ,la fleur de ce palmier est sur le point de tomber
xò kpɔ́n,tergiverser
Un nu,J’en ai bu
A sixú d&#39;alɔ mì à ?,Tu peux m’aider ?
"Ee un mɔ bɔ xɔ́ntɔn ce ɖò adohu adohu jí dó tɛnkpɔn tɔn wu é ɔ, un ɖɔ n’i ɖɔ è ni vɔ́ nǔ lɛ gbéjé kpɔ́n ɖò gbɛ̌ta mɛ, bo na dó dó gbɔ n’i.","En voyant mon ami stressé par son examen, je lui ai proposé une séance de révision collective pour le rassurer."
Nukún tɔn e nɔ xò nǔ kpɔ́n é kpo nukiko tɔn e nɔ xò nǔ kpɔ́n é kpo xlɛ́ ɖɔ é ɖó jlǒ e è ma sixu ɖí xwi xá ǎ é bo na dó xò nǔ kpɔ́n xá azɔ̌mɛvígbɛ́ tɔn lɛ.,Son regard pétillant de malice et son sourire en coin trahissent une envie irrésistible de faire une farce à ses camarades.
lanmɛ ce nɔ bló dɛɛ̀n,je sens un frémissement annonciateur de fièvre
Blo ɖi nyɛ ɖɔhun,Fais comme moi
Bó ɖu tɛɛ̀n cóbó wá yì,Mange un bon morceau de cela avant de t’en aller.
E nɔ́ wà nŭ ɖó adan wú,Il est violent.
"Mawu wɛ nɔ́ ná hɛ̌nnu mɛ e ma ɖó mɛɖé ǎ lɛ́ɛ; é wɛ nɔ́ ɖe gantɔ́ lɛ́ɛ nyi te, bónú yě ná mɔ vivo. Lo ɔ́, mɛ e nɔ fɔ́n gǔ dó Mawu jí lɛ́ɛ nɔ́ nɔ axéko jí.","Dieu donne une famille à ceux qui étaient abandonnés, Il délivre les captifs et les rend heureux ; Les rebelles seuls habitent des lieux arides."
Nɔ́ ɖó ayi.,Fais attention.
nù é ɖɔ́ é ɔ́ é hɛ̀n kàn d'é wú,il maintient ce qu'il a dit
Kpɛn ɔ́ vó,La papaye est molle.
"Linlin dó nǔ jí ayihɔngbe ayihɔngbe nɔ ɖè cortisol sín lanmɛ kpò, bo nɔ lɛ́ zɔ́n bɔ è nɔ ɖó linlin e nɔ hɛn lè wá nú mɛ é ɖé.",La méditation quotidienne diminue la production de cortisol et favorise un état de calme intérieur bénéfique.
Togun e ma ɖó hwenu e wá yì é ǎ é nɔ huzu vǐ e ma ɖó tɔ́ ǎ é.,Un peuple sans passé devient un enfant sans père.
Cí alokan towe.,Éteins ton téléphone.
Nǔ ɖevo bǐ mlɛ́mlɛ́.,Tout autre chose.
Nǔ ɖo mɔ̌ káká bɔ axɔ́sú yɔ̌yɔ́ ɖé wá xɔ to ɖo Ejípu. Éyɛ́ ká tunwun Jozɛ́fu sín tan ɖěbǔ ǎ.,"Il s'éleva sur l'Égypte un nouveau roi, qui n'avait point connu Joseph."
mi hεn ɔ mi na do alɔ nu mi a,pouvez
e wún xɛ ɔ́,il a attrapé l'oiseau
un ɖi ɖɔ un gbɔ yi ɔ e nyɔ hu,je crois qu'il vaudrait mieux que je parte
Fímu wiwi kpo wewé kpo enɛ dɔn mɛ.,Ce film en noir et blanc est captivant.
Nugbo wɛ gee,C'est absolument vrai
E su nuɖe a,De rien
é d'alɛ̀ wŭ cè,il a violé notre pacte d'amitié
wiin,abeille
Nɛ e nɔ nyi ?,Comment s'appelle-t-il ?
kpódó ayiglaglá kpán,hardiment
"Baakosi ví lɛ́ɛ, Sisela ví lɛ́ɛ, Tamáxi ví lɛ́ɛ,","les fils de Barkos, les fils de Sisera, les fils de Thamach,"
Vi ɖagbe lɛ ɖo ayihun da wɛ,Les bons enfants s'amusent.
a se à,tu as entendu n'est
Nukiko tɔn nɔ hɛn mɛ gble kaka bɔ é nɔ dɔn nǔkiko wá nú mɛ e tlɛ ɖò nǔ lin wɛ hugǎn lɛ é.,Son sourire était si contagieux qu’il faisait éclore des rires même sur les visages les plus graves.
"Filisitɛ́ɛn lɛ́ɛ lɛ́ vɔ́ sɔ́ ahwannú hwe ɖěvo nu, bo lɛ́ gba kpé Hlafa ví lɛ́ɛ sín tɔdo mɛ.","Les Philistins montèrent de nouveau, et se répandirent dans la vallée des Rephaïm."
A nyí mɛxó nú mì,Tu es mon aîné.
Awii mitɔn lε,Vos chats
Un tuwùn tawùn ă,Je ne sais pas au juste.
ye nɔ nɔ kplekple mɛ ɖo zun ɖaxo mɛ ɖo agun ɖe lɛ tɛntin,ils habitent par groupes dans la forêt entre les autres tribus
un nɔ ɖɔ̀ xó x'ɛ́,je suis en relation avec lui
avɔ élɔ́ dɛ̀,ce pagne est solide
A nɔ hɛ̀n hwiɖéé nyidò,Tu te conduis mal.
"Tɔ nɔ sá xwé b'ɛ́ nɔ́ hùn zò ă, fífá jɛ́n ná nyí","L'eau ne bâtit pas une maison pour qu'elle soit brûlante, la fraîcheur seule sera."
"É wà nǔ nyi dò ǎ, é lin tamɛ dó nǔ e sixu jɛ bɔ mɛ ɖevo ma ko lin tamɛ d’eji ǎ é jí kpowun.","Il ne s’est pas trompé, il a simplement envisagé une possibilité que personne n’avait considérée."
Ɖevo lε,D'autres
kokú wɛ́ sɛ́ mí dó gɔ̀n tɔ́wè,je viens de la part de kokou
Un sixú gló ǎ.,C’est plus fort que moi.
Fɔn mi zanzan tεεn,Réveille-moi de bon matin
atín é ɖo xásá ɖó wɛ́ ɔ́,l'arbre qu'il était en train d'entourer d'une palissade
alɔ towe ɖíè,bravo
Jijɔhɔn cyɔn toxo ɔ,L'orage s'est abattu sur la ville.
Mɛ bì yí hàn ɔ́ siì,Tout le monde a repris le refrain avec vigueur.
Nǔsumɛnukúnmɛ ɖaxó ɖé ɖu ɖò jǐ tɔn hwenu e é ɖò tamɛ lin dó mɛ ɖěɖee nɔ gudo n’i ɖò wuvɛ̌ syɛnsyɛn enɛ hwenu lɛ é bǐ jí wɛ é.,Un profond sentiment de gratitude l'envahit en repensant à tous ceux qui l'avaient soutenu durant cette épreuve difficile.
zɛn ɖe azɔmɛ vi lɛ ɖe ɔ ɖo vɔ,le vase dessiné par les élèves est vide
Nŭ e hɛn ɔ́ e na kó lín ɖ'áyĭ wɛ̀,C'était à prévoir.
E ɖɔ xo towe ɖɔ wε ɖo gbavinukpεnnɔ mε.,On parle de toi à la télé
"Nǔnywɛ ɔ, è nɔ mɔ gbɔn nǔ e jí è ɖeji dó lɛ é kplékplé gblamɛ ǎ, loɔ, gbɔn nǔxokpɔ́n kplɔnkplɔn kpo ɖɛkpɛɖɛkpɛ kpo, bo nɔ lɛ́ kàn nǔ byɔ kpo sísí kpo gblamɛ wɛ.","La sagesse ne s'acquiert pas en accumulant des certitudes, mais en apprenant à douter avec élégance et à questionner avec respect."
Sunnuvi ɔ ɖ’amlɔ dɔ wε ɖo avɔ gwlε,Le garçon dort sous la couverture.
un ɖo nuwlan nu ɖo alɔ mɛ,j'ai un crayon à la main
un ɖo bɛncemɛ,je suis en forme
É zé yi xwé bó zé xlɛ́ asú tɔn nɔ; é lɛ́ zé nǔ e é ɖu kpo ɔ́ jó n'i.,"Elle l'emporta et rentra dans la ville, et sa belle-mère vit ce qu'elle avait glané. Elle sortit aussi les restes de son repas, et les lui donna."
Axɔ́sú lɛ́ɛ bǐ ná jɛ kpo bo ɖe kɔ́ n'i. Akɔta lɛ́ɛ bǐ ná nyí mɛsɛntɔ́ tɔn.,"Tous les rois se prosterneront devant lui, Toutes les nations le serviront."
"Enyi é fó azɔ̌ e é nɔ wà ɖò sun atɔn mɛ é tlolo ɔ, é na wá kpéwú bo yí gbɔjɛ azǎn klewun ɖé lɛ bɔ é jɛxa ɛ.","Dès qu’elle aura terminé son rapport trimestriel, elle pourra enfin prendre quelques jours de repos bien mérités."
"Sin è nyɛ ná n’ɛ́ ɔ́ ná húzú tɔ ɖò wŭ tɔ̀n, bó ká ná sá káká yì gbɛ mavɔ mavɔ mɛ̀",L’eau que je lui donnerai deviendra en lui source d’eau jaillissante en vie éternelle.
vì ɔ̀ nɔ́ zɛ̀n nù dín,cet enfant casse tout
mi na xɔ 'menthe' gba ɖokpo,vous achèterez un paquet de menthe
É sú hɔ̀n dó mì,Il a fermé la porte sur moi (avec une intention hostile).
mɛ ce lɛ,ma famille
"Mɔ̌ ɖokpó ɔ́, nɔví yětɔn e gbɔn gbě énɛ́ ɔ́ jí káká yi Isakáa, Zabulɔ́ɔn kpó Nɛfutali kpó lɛ́ɛ nɔ dó nǔɖuɖu gban dó tócí jí, lǎkúnmí jí, sɔ́tócí jí kpódó nyibú kpó jí wá nú yě: yě hɛn linfín, bó hɛn fígi xúxú kpɔ́, bó hɛn vǐwun xúxú kpɔ́, vɛ̌ɛn, ami, bɔ nyibú kpó lɛ̌ngbɔ́ kpó ɖo kpɔ́ gégé, ɖó Izlayɛ́li to ɔ́ ɖo awǎ jɛ wɛ.","Et même ceux qui habitaient près d'eux jusqu'à Issacar, à Zabulon et à Nephthali, apportaient des aliments sur des ânes, sur des chameaux, sur des mulets et sur des boeufs, des mets de farine, des masses de figues sèches et de raisins secs, du vin, de l'huile, des boeufs et des brebis en abondance, car Israël était dans la joie."
gbɛmɛ hɔ́n ă,le temps est couvert
Un xwe hun gbe dotoxwe,Je vais au dispensaire
Yɔkpɔ́vú ɖé nɔ́ kpɔ́n wungbado mɛ nú mì ă,Un enfant ne me regarde pas ainsi (à un enfant qui vous parle effrontément).
A blo kpɛɖe à ?,As-tu fait un peu ?
"Akɔ afɔtɔn-nukún-ɛnɛgɔ́ ɔ́ sɔ́ Petaxiya, bɔ kogɔ́ ɔ́ sɔ́ Yexezikɛ́li.","le dix-neuvième, à Pethachja ; le vingtième, à Ézéchiel ;"
"Wema lɛ cí jikpá e è nɔ lɛ̀ ɖò cícící mɛ lɛ é ɖɔhun, bɔ atín sínsɛ́n yetɔn lɛ nɔ na nǔɖuɖu ayi mɛtɔn hwenu línlín ɖò nǔkún-yiya gudo.","Les livres sont des jardins que l’on cultive en silence, et dont les fruits nourrissent l’esprit longtemps après la récolte."
a na bɛ́ azɔ tɔn d'é nú,tu continueras son travail
é nyí nùɖé ján,c'est bien quelque chose
hwenu nabí un gbɔ̀,combien ai
etɛ wutu glexwe,pourquoi ouidah
e jɛ̀ susu jí,il commence à grandir
"Jozuwée ɖɔ nú Akáni ɖɔ: “Vǐ ce, tunwun ɖɔ Mawu Mavɔmavɔ, Mawu Izlayɛ́li tɔn kló, ɖɔ nǔgbó nú mì. Ɖɔ nǔ e a wa ɔ́ nú mì; ma hwlá nǔ ɖěbǔ dó mì ó.”","Josué dit à Acan : Mon fils, donne gloire à l'Éternel, le Dieu d'Israël, et rends-lui hommage. Dis-moi donc ce que tu as fait, ne me le cache point."
Nukún tówé ɖo mɛ’gban mɛ̀,Tu es envieux.
e wá mì gɔ́n,il est venu chez nous
"Tɛláxi nɔ gbɛ xɔ xwe afɔɖé atɔ́ɔ́n (205), bó kú ɖo Haláani.",Les jours de Térach furent de deux cent cinq ans; et Térach mourut à Charan.
Un do gbe nu mi ɖɔ mi ni yi tomɛ ganji bo ɖo nukun ɖɔ mi na hɛn flinflin ɖagbe ɖagbe lɛ wa nu mi ɖo tomɛyiyi ɖagbe enɛ ɔ mɛ.,Je vous souhaite un excellent voyage et j’espère que vous rapporterez des souvenirs merveilleux de cette belle aventure.
Nɔ̀ví cé lɛ́ mì,Mes chers frères.
Gba ta ɖo so wu,Taper la tête contre un rocher
"Ée é yi zinkpo jí lě tlóló ɔ́, é hu Baeca sín xwédo ɔ́ bǐ. É jó súnnu e ko nyí Baeca tɔn é ɖokpó dó ǎ. É jó hɛ̌nnumɔ dó ǎ, é ka jó xɔ́ntɔn dó ǎ.","Lorsqu'il fut roi et qu'il fut assis sur son trône, il frappa toute la maison de Baescha, il ne laissa échapper personne qui lui appartînt, ni parent ni ami."
Lee gbɔ ɖe ɔ wɛ hunɖe tɔn nɔ nɔ.,Le cabri est selon sa poitrine.
a ɖò to ɔ mɛ à,tu es encore en vie manière familière de saluer quelqu'un qu'on n'a pas vu depuis longtemps es
Jĭ ɖò jija wɛ̀ tɔɔ̀n,Il pleut sans arrêt.
yĭgíì,aïe aïe !
yúgwíì,aïe aïe !
Un ɖo gbesisɔ mɛ nú nǔ bǐ; un gbɛ́ kú ǎ.,Pourquoi saisirais-je ma chair entre les dents ? J'exposerai plutôt ma vie.
nŭ un ɖɔ̀ bó dó ɖù dafɛ́ ná ɔ́ é sɔ́ dó mɔ̀ nŭjɔ̀nŭ,ce que je disais pour plaisanter il l'a pris au sérieux
"Ée axɔ́sú ɔ́ se mɔ̌ ɔ́, é dó wɛn sɛ́ dó Hlaxábu ɖɔ: “Nya e wá xwé towe gbe lɛ́ɛ ɔ́, è sɛ́ yě dó ɖɔ yě ní wá ba do nú to ɔ́ céɖécéɖé wɛ. Jǒ yě nú mǐ.”","Le roi de Jéricho envoya dire à Raab : Fais sortir les hommes qui sont venus chez toi, qui sont entrés dans ta maison ; car c'est pour explorer tout le pays qu'ils sont venus."
"Ayizɛ́ngɔ́ ɔ́ nyí Osɛ́mu, bɔ tɛ́nwegɔ́ ɔ́ nyí Davídi.","Otsem le sixième, David le septième."
vì élɔ́ ná wá nyí nuɖé,cet enfant arrivera à quelque chose
A ɖó na dó gǎn ɖebǔ nú enɛ ǎ.,Vous n’avez aucun effort à faire pour ça.
e gbε nuɖuɖu na kanlin lε,il est interdit de nourrir les animaux
Yetɔn ahwan ye,Ils leur livrèrent bataille
Davídi kplé vɔ̌sánú-xwlémawutɔ́ Aalɔ́ɔn ví lɛ́ɛ kpó Levíi ví ɖě lɛ́ɛ kpó.,David assembla les fils d'Aaron et les Lévites :
Ani ba wɛ a ɖè ?,Que cherches-tu ?
Nu amasin,"Prendre un médicament, le boire"
blă xomɛ̀,se serrer la ceinture
E nɔ mɔ nu gbɔ.,Il a mauvaise vue
A ɖ’àzɔ̀ wú à ?,Es-tu bien à ton affaire ?
E ɖò ɖè dó mí wɛ̀,Il m'excite.
Azan yoeyoe ɖe wa yi,Quelques jours avant
"Ðó nǔ e è nɔ zán dó bló nǔ lɛ é ma sukpɔ́ ǎ wutu ɔ, mǐ ɖó na bló bɔ nǔ e mǐ nɔ zán lɛ é na gbɔn vo bo na dó sixu bló nǔ lɛ ganji.","Face à la pénurie de matières premières, nous devons diversifier nos sources d’approvisionnement pour sécuriser la production."
Wǎ fí!,Viens ici !
e yì hweɖénu,à tout à l'heure
goyiyí,orgueil
mεɖémúmɔ́,orgueil
Do somε,Coin du mur
Mǐ ɖó nǔɖé ǎ.,Nous n'avons rien.
É wɛ nyí só ɔ́; nǔwiwa tɔn lɛ́ɛ nyɔ́ bɔ nǔ vɔ ɖ'é wú. Ɖó ali tɔn lɛ́ɛ bǐ jlɔ́. Mawu gbejínɔtɔ́ wɛ. É nɔ́ wa nǔblíblí ǎ. É jlɔ́ bó ɖo xwi jí.,"Il est le rocher; ses oeuvres sont parfaites, Car toutes ses voies sont justes ; C'est un Dieu fidèle et sans iniquité, Il est juste et droit."
A w'azɔ kpεɖe à ?,As-tu travaillé un peu?
"Ée yě kplé ɔ́, Elíi sɛkpɔ́ yě, bó ɖɔ: “Hwetɛ́nu wɛ mi ka ná sɛn nǔ we yi jɛ? Mi sɔ́ ɖokpó bó sɛn. Ényí Mawu Mavɔmavɔ wɛ ɖó acɛ nǔgbó hǔn, mi bo sɛn ɛ. É ká nyí vodún Baalu wɛ ɖó acɛ nǔgbó hǔn, mi bo sɛn ɛ!” Ée é ɖɔ mɔ̌ ɔ́, mɛɖé kɛ nu ɖo yě mɛ ǎ.","Alors Élie s'approcha de tout le peuple, et dit : Jusqu'à quand clocherez-vous des deux côtés ? Si l'Éternel est Dieu, allez après lui ; si c'est Baal, allez après lui ! Le peuple ne lui répondit rien."
"A ka sixu ɖɔ nǔɖutɛn ɖagbe e ɖò xá ɔ mɛ é ɖé nú mì, bɔ enyi é nyɔ́ bló ɔ, tomɛyitɔ́ lɛ nɔ wá ɖu nǔ ɖè dín ǎ à?","Pourriez-vous me recommander un bon restaurant typique dans le quartier, pas trop touristique si possible ?"
gbà wɔ̆,s'amollir comme la pâte
É nɔ́ mɔ̀ nù jɛ́ mɛ̀,Il comprend.
dŏ hε̆n mε,insulter gravement quelqu'un en le calomniant
"hwenu e un ná ɖu ɖo yě jí, bó ná lɛ́ kɔ jǎwe xwé ɔ́, nǔ funfún ɖo xo mɛ nukɔntɔn e ná tɔ́n sín xwé ce gbe, bó ná wá kpé mì ɔ́, un ná sɔ́ dó sá vɔ̌ e è nɔ dó zo ɔ́ nú we.”","quiconque sortira des portes de ma maison au-devant de moi, à mon heureux retour de chez les fils d'Ammon, sera consacré à l'Éternel, et je l'offrirai en holocauste."
E na nyɔ nu we,"Merci, tu réussiras, cela te réussira (ce sera bon pour toi)"
E má mì,J’y suis habitué.
togun e mɛ gbɛtɔ ɖe e bɔ nukɔn yiyi tɔn kpo nyɔna tɔn kpo na tɔn sin mɛ é ɔ̀ é ɖo na ɖo nunɔmɛɖè lɛ do wǔ tɔn,l'individu a des devoirs envers la communauté dans laquelle seul le libre et plein développement de sa personnalité est possible
e nɔ́ nɔ̀ alada gbejí,il habite dans les environs d'alada
"Ée é ɖɔ mɔ̌ ɔ́, togun ɔ́ bǐ sú xó bó ɖɔ: “Nǔgbó wɛ a ɖɔ. Mǐ ɖó ná bló nǔ e a ɖɔ nú mǐ é!",Toute l'assemblée répondit d'une voix haute : A nous de faire comme tu l'as dit !
E gbɛ avi nu vi ɔ,Il a interdit à l'enfant de pleurer.
daagbo ce ɔ mɛkpikpo wɛ,mon grand-père était un vieillard
mì ko ja,nous arrivons déjà
Un ɖo ganji,Ça va bien
