fon|fr|sentiment_final
Ðò xóɖɔɖókpɔ́ e ɖò te é ɖé hwenu ɔ, un nɔ cɔ́ nyiɖée bo nɔ gbò nu ǎ, enyi akpàkpà na bo tlɛ sɔ́ mì bonu má na xósin ɔ nɛ.|Pendant une conversation animée, je fais attention à ne pas couper la parole, même si j’ai hâte de répondre.|2
Tɔsisa ɔ sín gbè nɔ fá kɔ nú mì, bo nɔ lɛ́ bló bɔ un nɔ j’ayǐ kpo xomɛfífá kpo.|Le bruit des vagues m'apaise et me berce doucement.|2
Gbětɔ́ ɖaxó ɖokpó wɛ é nyí. Énɛ́ ɔ́ wú wɛ è nɔ ɖɔ: “É nyí gbětɔ́ ɖaxó Nɛmulɔ́di ɖɔhun.”|Il fut un vaillant chasseur devant l'Éternel; c'est pourquoi l'on dit: Comme Nimrod, vaillant chasseur devant l'Éternel.|2
Hwebǐnu ɔ, nɔ cí ɔdinatɛ́ɛ towe jí ɖò azǎn ɔ sín vivɔnu bonu é ma wá xú zɛ xwé wu ó, lobo na lɛ́ bló bɔ nǔ e ɖò ɔdinatɛ́ɛ ɔ mɛ lɛ é na nɔ ayǐ nú táan gegě.|Éteins systématiquement ton ordinateur en fin de journée pour éviter la surchauffe et prolonger la durée de vie des composants internes.|0
A gbɔn mɛsɛntɔ́ towe Mɔyízi jí, bó xlɛ́ yě gbɔjɛzán e nyí azǎn bɔ è sɔ́ ɖó vo nú we ɔ́. A ɖɔ lě e yě ná wa nǔ gbɔn ɔ́ nú yě; a nǎ yě kplɔ́n; a ɖɔ nǔ e yě ná wa lɛ́ɛ nú yě; a nǎ sɛ́n ɖokpó yě.|Tu leur fis connaître ton saint sabbat, et tu leur prescrivis par Moïse, ton serviteur, des commandements, des préceptes et une loi.|0
e húhwé|il se mêle de ce qui ne le regarde pas|1
É nu vɛ̌ɛn mú gbe ɖokpó, bó jɛ mɛ̌ jɔgbe ɖo goxɔ tɔn mɛ.|Il but du vin, s'enivra, et se découvrit au milieu de sa tente.|1
ɖaxó - ɖésú - dín - flélé - gbidiì - gbodoò - gègé - hwiì - kpaɖaɖà - kplεlὲ - kpεɖεɖὲ - kεcεὲ - susu - taala - talala - tlala - tobútobú - tεὲn - vò - vonyà - wɔ̀blíbà - wɔ̀búwɔ́bú - wosuwosù|beaucoup|2
Mɛ e jὲ tɛn ce mɛ ɔ́ wὲ|C'est mon successeur.|0
Ma sɔ́ hwiɖée ɖó tɛn ɖaxó mɛ ɖo axɔ́sú nukɔn ó; ma sɔ́ hwiɖée ɖó hǎga jí ó.|Ne te vante pas devant le roi, ne te tiens pas à la place des grands ;|0
un na ɖu wɔ|je vais manger des pâtes|0
e sɛ́n|il a des fruits en formation ou à maturité|0
Axɔ́sú Silíi tɔn ɔ́ ká kó ɖɔ nú gǎn gban-nukún-we (32) e kpa acɛ dó ahwankɛkɛ́ví tɔn lɛ́ɛ nu lɛ́ɛ ɖɔ yě ní ma ɖ'alɔ ahwanfuntɔ́ kpaa lɛ́ɛ wú ó, yě ní ma ka ɖó alɔ ahwangán lɛ́ɛ wú ó, lo ɔ́ axɔ́sú Izlayɛ́li tɔn ɔ́ kɛ́ɖɛ́ wɛ yě ná wlí.|Le roi de Syrie avait donné cet ordre aux trente-deux chefs de ses chars : Vous n'attaquerez ni petits ni grands, mais vous attaquerez seulement le roi d'Israël.|0
mi yì hànkpá mɛ̀|allez à la classe de chant|0
un ná ɛ Yɛ ce bɔ é gɔ́ ayi tɔn mɛ, bɔ é bí, bó mɔ nukúnnú jɛ nǔ mɛ titewungbe. É tunwun azɔ̌ xwítíxwítí alɔkpa bǐ.|Je l'ai rempli de l'Esprit de Dieu, de sagesse, d'intelligence, et de savoir pour toutes sortes d'ouvrages,|2
jɔhɔn hɛ̀n acɔ ce hlɛ́n|le vent a séché en partie mon pagne|1
kɔnnyikpɔ́ - kpétó|à gogo|2
Ée Mawu Mavɔmavɔ ɖɔ mɔ̌ ɔ́, Mɔyízi ɖɔ n'i ɖɔ: “Nú a blǒ mɔ̌ ɔ́, Ejípunu e tɛ́ntin a zě hlɔ̌nhlɔ́n towe dó ɖe yě sín ɔ́ ná wá se,|Moïse dit à l'Éternel: Les Égyptiens l'apprendront, eux du milieu desquels tu as fait monter ce peuple par ta puissance,|1
anɔwlinú|soutien|2
bó ɖɔ nú mì ɖɔ: ‘Đǒtó mì! Un ná bló bɔ a nǎ ji, a nǎ gba kún; un ná zé we dó bló togun gěgé. Un ná zé to élɔ́ ná kúnkan towe lɛ́ɛ, bɔ é ná nyí yětɔn káká sɔ́yi.’ ”|Il m'a dit: Je te rendrai fécond, je te multiplierai, et je ferai de toi une multitude de peuples; je donnerai ce pays à ta postérité après toi, pour qu'elle le possède à toujours.|2
Boako sin nukun lɛ ta zo ɖo ahwanfun nu ahwanfuntɔ lɛ tɔn ji bɔ ye mɔ nu keze ceɖeceɖe ɖɔhun|Les yeux de Boako jetaient leur lumière sur les armes des guerriers qui virent alors comme en plein jour.|2
ato wewe ɔ se xo susu yetɔn e xεsi jε jitɔn ɔ e bε wezun ɖo wezun tɔn mε ɔ e kεn atinsinsεn ɖaxo ɖokpo|leurs cris alertèrent le singe blanc qui affolé se mit à courir et détacha dans sa fuite un gros fruit sauvage|0
mì nɔ̀ kpé xó xá mìɖéé|je suis en relation avec lui|0
e jínj'anyĭ kpanmiì|il s'assit bêtement|1
Mi sɔ́ nǔ ɖěbǔ bó ná wa ɔ́, Mawu Mavɔmavɔ ná dó nu. É ná dó bǐ agudu, ɖě ná yi ta ǎ, káká bɔ kún mitɔn bǐ ná sú dó, ɖó hwɛ énɛ́ e mi hu ɔ́ jǒ wɛ mi jó Mawu Mavɔmavɔ dó.|L'Éternel enverra contre toi la malédiction, le trouble et la menace, au milieu de toutes les entreprises que tu feras, jusqu'à ce que tu sois détruit, jusqu'à ce que tu périsses promptement, à cause de la méchanceté de tes actions, qui t'aura porté à m'abandonner.|1
Mawu na hɛn we|Dieu veillera sur toi.|2
a kló|tu es gros|0
Mǐ ɖò wezun jí.|Nous courions.|0
gbɔ̆ - lὲngbɔ́sì|brebis|0
Nǔjlajla lɛ ɖò nǔ sɔ́ wɛ gbɔn alɔkpa vovo e nɔ xò kplé agbaza tɔn lɛ kpo kpléɖókpɔ́ ɖaxó e è nɔ bló ɖò ɛntɛnɛti jí lɛ é kpo kplé lɛ é nina mɛ gblamɛ.|Les salons professionnels retrouvent leur pertinence en proposant des formats hybrides mêlant rencontres physiques et conférences virtuelles.|0
un ɖo azɔ ba wε|je cherche du travail|1
zofínkplɔ́sin jà|la première pluie de la grande saison est tombée|0
tέ tó|ouvrir les oreilles|0
Mɛ nɛ́ ɔ́ nɔ́ kú sù ă|Cette personne est compatissante.|2
un sixu ɖɔ nu gwegwe hwε a|je ne peux pas encore dire grand|0
enɛ gudo mi ɖo xwe ɖokpo ɖo glexwe|en plus nous avons une maison à ouidah|2
Nyǐ ɔ́ ná ɖo akpɔ́kpɔ́ ɔ́ mɛ, bɔ un nǎ nɔ́ mɔ, bɔ é ná nyí flǐn nú mì nú akɔ e un jɛ xá mi bó jɛ xá nǔ e ɖo gbɛ ɖo ayǐkúngban jí lɛ́ɛ bǐ káká sɔ́yi é.”|L'arc sera dans la nue; et je le regarderai, pour me souvenir de l'alliance perpétuelle entre Dieu et tous les êtres vivants, de toute chair qui est sur la terre.|0
Un ɖó jlŏ tɔ̀n|Je suis volontaire.|2
Mawu Mavɔmavɔ, sɛ́n e a dǒ lɛ́ɛ bǐ wɛ nyí sɛ́n jɔ sɛ́n. É jɛ xá bɔ xwé towe ná nyí nǔ mímɛ́ káká sɔ́yi. Mawu wɛ nɔ ba hlɔn|Tes préceptes sont tout à fait sûrs ; la sainteté convient à ta maison, Seigneur, pour la longueur des jours !|2
Kelɔ́si ví lɛ́ɛ, Sia ví lɛ́ɛ, Padɔ́ni ví lɛ́ɛ,|les fils de Kéros, les fils de Sia, les fils de Padon,|0
É ɖò wèmá tówé gwlɛ́|Il est sous ton livre.|0
hunvɔvɔli|artère|0
De a su gbɔn ɔ ! Un sɔ tuun we a|Comme tu as grandi ! Je ne t'ai pas reconnu.|2
Sɛ́n enɛ xlɛ́ nǔ e ɖò te é ɖé bɔ atín sínsɛ́n lɛ ɖò jiji wɛ, bɔ weziza ɔ ɖibla ɖò anyǔ e ɖò xixo wɛ lɛ é jí ɖɔhun.|Ce tableau représente une nature morte aux fruits éclatants, où la lumière semble presque palpable sur les peaux luisantes.|2
yă agbannɔ̀ má sà kpétè|une vieille vendeuse ne vend pas son étalage d'un seul coup|0
koli|genou|0
Hwenu ɖee Kofi wa ɔ, mi bi ɖo fi.|Quand Kofi est arrivé, nous étions tous ici :|0
nyɛ ɖesu un ɖo ɖagbe|moi aussi je me porte bien|0
Elíi bló nǔ e Mawu Mavɔmavɔ zɔ́n ɛ ɔ́. Mɛ e axɔ́sú Akaziasi sɛ́ dó lɛ́ɛ lɛ́ kɔ wá mɔ ɛ tlóló, bɔ é kanbyɔ́ yě ɖɔ: “Étɛ́wú mi ka yá wǔ wá sɔ mɔ̌?”|Élie fit ce que le Seigneur lui avait commandé. Aussitôt, les messagers retournèrent auprès du roi, qui leur demanda : « Pourquoi donc êtes-vous revenus ? »|0
E nɔ tuun mɛ nyi bɔ nu xwe nɔ bu à.|Lorsqu'on connaît le nom du propriétaire, on ne s'égare pas sur le chemin.|0
Bɔ e xo jɛ asi tɔn|Elle est tombée enceinte|0
Ee axɔsu ɔ sè xó enɛ ɔ, ayi tɔn bĭ gbado|L'ayant appris, le roi s'émut.|1
E kɔn atan gɔ go ɔ|II a rempli la bouteille de vin de palme|0
E kpéké kɔ̀ nú mì|Je suis excédé.|1
Labáan mɔ alɔkɛ́ kpódó alɔgan kpó ɖo nɔví tɔn sín alɔ, bó se xó e nɔví tɔn Hlebeka ɖɔ nya ɔ́ wɛ ɖɔ nú émí ɔ́ bǐ. Ée é mɔ mɔ̌ ɔ́, é yi nya ɔ́ gɔ́n, bɔ nya ɔ́ ɖo te ɖo lǎkúnmí tɔn lɛ́ɛ kpá ɖo tɔ ɔ́ kɔn.|Il avait vu l'anneau et les bracelets aux mains de sa soeur, et il avait entendu les paroles de Rebecca, sa soeur, disant: Ainsi m'a parlé l'homme. Il vint donc à cet homme qui se tenait auprès des chameaux, vers la source,|0
kplé dɔkùn - wà dɔkùn|s'enrichir|2
É bló Tɛn mímɛ́ bǐ ɔ́ mɛ ɖó, bó ná zé akɔjijɛgbá Mawu Mavɔmavɔ tɔn ɔ́ d'é mɛ.|Salomon établit le sanctuaire intérieurement au milieu de la maison, pour y placer l'arche de l'alliance de l’Eternel.|0
Énɛ́ ɔ́, mɛ e gbɛ́ wǎn nú Mawu Mavɔmavɔ lɛ́ɛ ná jó goyíyí bǐ dó, bɔ Izlayɛ́li ví lɛ́ɛ ná mɔ agbɔ̌n káká sɔ́yi.|ceux qui détestent le Seigneur le flatteraient, et leur temps serait fixé pour toujours ;|1
mi mɛ ayizɛn tɔ ce nɔ ce kpo ɖo vi ɛnɛ kpo|mon père ma mère et quatre enfants|0
e sìxú wà nù tí nú mì ă|il ne peut rien contre moi|2
cyăn - ɖè|choisir|0
Ɛεn, un fɔn bi|Oui, je me suis réveillé complètement|0
feví ɖì|le gombo a bien produit|2
Kafée e ɖò zo jí ɖò acíví tɔn wewé ɔ mɛ é nɔ ɖè wǎn ɖagbe ɖé tɔ́n bo nɔ gɔ́ngɔ́n, bo nɔ d’akpá ɖɔ è na gbɔjɛ ɖò kéze ɔ mɛ.|Le café fumant dans sa tasse blanche dégageait un arôme riche et corsé, promesse d'une pause réconfortante dans la journée.|2
ma jɛ̀'afla ó|ne te laisse pas faire|0
Hwe ɖĕvo nu|Une autre fois.|0
É dó avɔ ɖó goxɔ ɔ́ sín ali nu.|Il plaça le rideau à l'entrée du tabernacle.|0
Bɔ Amunɔ́ɔ ɖɔ nú Tamáa ɖɔ: “Zě nǔɖuɖu ɔ́ sɛkpɔ́ mì ɖo zan ce tó, bó dó nú mì, nú má ɖu.” Tamáa zé nǔɖuɖu e é bló ɔ́ yi jó nú Amunɔ́ɔ ɖo xɔnɔnɔ ɔ́ mɛ, ɖo zan tɔn tó.|Alors Amnon dit à Tamar: Apporte le mets dans la chambre, et que je le mange de ta main. Tamar prit les gâteaux qu'elle avait faits, et les porta à Amnon, son frère, dans la chambre.|1
ylɔ mi hwelɛkɔ elɔ|appelle|0
Bo na dó wà nǔ nyanya ma wà mɛ ǎ.|Agir sans nuire.|2
Alɔnu tɔn nyɔ́ ă|Il ne fait pas du bon travail.|1
Agidigbǎnwún, ɖó éyɛ́ nɔ́ tún nǔ ɖu, é ká ɖó afɔkpa ǎ; kanlin blíblí nɛ́.|Vous ne mangerez pas le daman, qui rumine, mais qui n'a pas la corne fendue: vous le regarderez comme impur.|0
Yě nɔ te káká bɔ agbɔ̌ kpé yě; lo ɔ́, axɔ́sú ɔ́ ɖo hɔn lɛ́ɛ hun wɛ ǎ jɛ́n wɛ. Énɛ́ ɔ́, yě zě cávi ɔ́, bó hun hɔn lɛ́ɛ yě ɖésúnɔ, lobo mɔ ɖɔ axɔ́sú yětɔn kó kú, bó ɖo dlɛ̌ndlɛ́n ɖo kɔ́ mɛ.|Ils attendirent longtemps ; et comme il n'ouvrait pas les portes de la chambre haute, ils prirent la clé et ouvrirent, et voici, leur maître était  mort, étendu par terre.|1
Mawu Mavɔmavɔ ɖɔ nú Mɔyízi ɖɔ:|L'Éternel parla à Moïse, et dit:|0
É nɔ́ yi wu nú mɛ ɖo gletoxo lɛ́ɛ kpá, é nɔ́ hu xomɛvɔ́nɔ ɖo nǔglɔ́. Nukún tɔn nɔ́ gosín mɛ e ma ɖó gǎn ɖé ǎ ɔ́ wú ǎ.|Il se tient en embuscade près des villages, Il assassine l'innocent dans des lieux écartés ; Ses yeux épient le malheureux.|1
zĕ ta|lever la tête|0
A ka na ɖò gbesisɔmɛ bo na kpɔ́n wema e mɛ un wlan nǔ dó é bo na linlin towe mì à?|Accepteriez-vous de jeter un coup d'œil à ma lettre de motivation pour me donner votre avis ?|0
Mi nɔ ɖu nu ganji ɖo fi a.|On mange mal ici|1
Gbεtɔ 10000 nɔ ku zozo xwe ɖokpo ɖokpo mε|Il y a 10 000 morts par accident chaque année|1
Nù lɛ́ ɖò guduù|Les choses sont en désordre.|1
Vì ɔ́ ɖò zùnzɔ́n wɛ̀|L'enfant grandit.|2
mi ɖu lan kaka bo gɔ xo|nous avons mangé de la viande jusqu'à en être rassasiés|2
E blo ɖo ganji|II a bien fait|2
e bló nyidò|il a mal agi|1
Un ɖó nǔɖé bó ná xwlé we din ǎ.|Je n’ai rien à te proposer maintenant.|1
A ɖo yovoslɔ myamya bε wε|Tu ramasses des pommes mûres.|0
E gba nyɔmɛ|II a des blessures aux gencives|1
Amlɔ didó nú ganxixo tɛnwe jɛ tantɔn ɖò zǎn ɖokpo mɛ ɖò taji.|Dormir sept à huit heures par nuit est essentiel.|0
Nú mǐ kó wɔn hwi Mawu mǐtɔn ɔ́, bó yi sɛn nǔmɛsɛn to ɖěvo mɛ nu lɛ́ɛ tɔn wɛ ɔ́,|Pour que tu nous écrases dans la demeure des chacals, Et que tu nous couvres de l'ombre de la mort.|1
mi yi wan nu ye bo mi nɔ le si ye|nous les aimons et nous leur obéissons|2
E su kpε a|Ce n'est pas grand-chose|0
yĭ wăn nú mɛ ɖŏ... wŭ|admirer|2
Cuku ɔ ɖo fun wiwi kpodo wewe kpo|Le chien a des poils noir et blanc.|0
Mi ɖo yiyi wɛ ɖo Paris.|Nous allons à Paris.|2
yĕ ɖ'àzɔ̀ wú kútúkútú|ils sont sérieusement au travail|0
Jɔhɔn ɔ nɔ ɖíɖí alɔ dó atín e nɔ nyí oak é sín ama lɛ jí kpo xomɛfífá kpo.|Le vent caresse doucement les feuilles du chêne.|2
Nǔ ɖebǔ sixu ɖó mǐ te bonu mǐ na gɔn gbɔjɛ yì ǎ.|Rien ne pourra nous empêcher de partir en vacances.|2
Mă ɛ̀ ɖó wè|Partage-le en deux.|0
Lan ɔ hwán|La viande est gâtée.|1
e ze wema ɖo tavo ji|elle a déposé le livre sur la table|0
lɛ̀ zé wèmá élɔ́ wá nú mì|rapporte|0
Azǎn tántɔngɔ́ ɔ́ gbe ɔ́, é ná hɛn xwelé we abǐ ahwannɛ́ we yi jó nú vɔ̌sánú-xwlémawutɔ́ ɔ́ ɖo Goxɔ ɔ́ lihɛ́nnu.|Le huitième jour, il apportera au sacrificateur deux tourterelles ou deux jeunes pigeons, à l'entrée de la tente d'assignation.|0
È nɔ mɔ Yoɛ́li nukɔntɔ́ ɔ́ sín hɛ̌nnu, Cafámu e bɔ d'é wú ɔ́ sín hɛ̌nnu, Yaenayi sín hɛ̌nnu kpódó Cafáti sín hɛ̌nnu kpó ɖo fínɛ́.|Joël, le premier, Schapham, le second, Jaenaï, et Schaphath, en Basan.|0
mìtɔ́n ɔ́ wɛ̀|c'est le nôtre|2
Vi towe lε lo, ye ɖo gangi a ?|Et tes enfants, ils sont bien ?|0
Lo ɔ́, yě wlí tó nǔ e ɖɔ nú yě wɛ gbeyíɖɔ lɛ́ɛ ɖe ɔ́ wú ǎ. Yě tlí tó tɔ́gbó yětɔn lɛ́ɛ ɖɔhun. Tɔ́gbó yětɔn lɛ́ɛ ɖi nǔ nú Mawu Mavɔmavɔ, Mawu yětɔn ǎ.|Mais ils n'écoutèrent point, et ils roidirent leur cou, comme leurs pères, qui n'avaient pas cru en l'Éternel, leur Dieu.|1
é nɔ sà legéde|il flâne|0
yě nɔ́ ɖɔ: “Acɔnkwín! Mawu jó e dó, mi jɛ gǔdo tɔn. Mi wlí i. Mɛ ɖěbǔ ɖe bó ná hwlɛ́n ɛ gán ǎ.”|Disant : Dieu l'abandonne ; Poursuivez, saisissez-le ; il n'ya personne pour le délivrer.|1
Mi kɛnklɛn bo nɔ te kpɛɖe ɖo tenɔtɛn ɔ, dotoo ɔ na mɔ mi zaanɖe.|Merci de bien vouloir patienter quelques instants dans la salle d’attente, le médecin va vous recevoir très prochainement.|0
Din ɔ́, Mawu Izlayɛ́li tɔn, akpá e a dǒ nú mɛsɛntɔ́ towe tɔ́ ce Davídi ɔ́ ní bó nyí mɔ̌!|Oh ! qu'elle s'accomplisse, Dieu d'Israël, la promesse que tu as faite à ton serviteur David, mon père !|2
Ɖo ɖa fεɖεfεɖε ɔ|Qui a des cheveux fins|0
gbɛtɔ́ hwexónú tɔ́n lɛ́|les hommes des temps anciens|0
un ɖi ɖɔ̀ é ná wá|je croyais qu'il viendrait|0
wè tɛ́ a ɖe nú égbé|qu'as|0
Nǔ e ko jɛ wá yì lɛ é nɔ kɔ́n ali e ɖò égbé lɛ é jí.|Le passé éclaire les chemins du présent.|0
É ɖù nù vɛ̌ nu|Il a mangé quelque chose qui est du poison.|1
ayunmlimlixotɔ lɛ ɖo ayunmlimli nyi ɖo yeɖee wɛ|les joueurs se lancent la balle|0
Mɛ e nɔ nyi sɛ́n ɔ́ nɔ́ nya xɛ ɖo gbɛ éɖée tɔn jí; mɛ e ma nɔ lin tamɛ cóbó nɔ́ wa nǔ ǎ ɔ́ ná kú.|Celui qui garde les préceptes se garde lui-même ; celui qui méprise ses voies mourra.|0
Nyibúsú kpó gbǎgbá kpó e è dǒ sá hwɛsɔ́kɛmɛvɔ́ ɔ́ ná, bó zé hun yětɔn yi goxɔ ɔ́ mɛ, bó dó súnsún hwɛ sín kɔ nú togun ɔ́ lɛ́ɛ ɔ́, è ɖǒ ná bɛ́ yě sín fí e yě ɖǒ gɔnu ɖó ɔ́, bó ná fyɔ́ anyǔ yětɔn kpódó lan yětɔn kpó, kpódó mǐ yětɔn kpó.|On emportera hors du camp le taureau expiatoire et le bouc expiatoire dont on a porté le sang dans le sanctuaire pour faire l'expiation, et l'on brûlera au feu leurs peaux, leur chair et leurs excréments.|0
un yì cyán nŭ|je suis allé chercher du bois pour un jumeau ou la mère d'un jumeau|0
Nú kúkú yětɔn jɛ nǔ ɖěbǔ jí ɔ́, nǔ ɔ́ ná nyí nǔblíblí; é sixú nyí atínká, é sixú nyí avɔ, é sixú nyí anyǔ, é sixú nyí glo, é sixú nyí nǔ ɖěbǔ. È nǎ sɔ́ dó sin mɛ, bɔ é ná húzú nǔblíblí káká jɛ gbadanu; énɛ́ ɔ́ gúdo ɔ́, é ná lɛ́ húzú nǔ mímɛ́.|Tout objet sur lequel tombera quelque chose de leurs corps morts sera souillé, ustensiles de bois, vêtement, peau, sac, tout objet dont on fait usage; il sera mis dans l'eau, et restera souillé jusqu'au soir; après quoi, il sera pur.|0
Dŏ kpɛɖé jí|Ajoute un peu.|0
Etɛ wutu mi nɔ yi azɔxɔ mɛ ?|Pourquoi allez-vous en classe?|0
Un yí mɛ ɖé d'ázɔ̆ mɛ̀|J'ai engagé quelqu'un pour le travail.|0
Ali kpɛví e è sɔ́ awinnya dó bló é nɔ ɖò xɔ xóxó lɛ tɛntin.|La rue étroite et pavée serpente entre les vieilles bâtisses.|0
yin tɔn wɛ̀|çà m'appartient|2
Penɛ wɛ gba|C’est un pneu qui a éclaté.|1
Nǔgbó ɔ́, mɛ e nɔ sí Mawu lɛ́ɛ ɔ́, hwlɛngán tɔn ko sɛ yá yě, bónú susu tɔn ná nɔ to mǐtɔn mɛ.|Oui, son salut est proche pour ceux qui le craignent, afin que la gloire demeure dans notre pays.|2
aglúzasú|verrat|0
Wema ɔ klo|Le papier est épais|0
Un si hɛn wemaxixa enɛ ɔ lɛ bi a|Je ne peux porter tous ces livres.|0
Tɛnkpɔn bo ma wɔn agban towe lɛ ɖo jɔmɛhunj'ayitɛn o !|Essaie de ne pas oublier tes bagages à l'aéroport !|0
e ma ɖò glexwé ɖɔ́ wɛ̀ bó nú kpasɛ wá bú ó|qu'on ne dise pas glexwé pour oublier kpasè|0
ɖŏ bŏ nú mε|envoûter quelqu'un|1
súnnu e ɖó xó xá ɖyɔ̌vǐ ɔ́ ná ná gankwɛ́ kanɖé wǒ (50) vǐ e é ɖó xó xá é sín tɔ́; bɔ ée é ká kó ɖó xó xá vǐ ɔ́ é ɔ́, é ɖó ná da, bó ká ɖó ná nya ɛ gbeɖé cóbó kú ǎ.|l'homme qui aura couché avec elle donnera au père de la jeune fille cinquante sicles d'argent ; et, parce qu'il l'a déshonorée, il la prendra pour femme, et il ne pourra pas la renvoyer, tant qu'il vivra.|0
Mǐ nɔ gbɛ̀ adohu adohu jí ǎ, bo lin gbeɖé ɖɔ hwenu siká tɔn enɛ lɛ na huzu flínflín xɔ akwɛ ɖé gbè ɖokpo ǎ.|Nous vivions insouciants, sans jamais penser que ces moments dorés deviendraient un jour de précieux souvenirs.|2
na mi sin fifa|donne-moi de l'eau fraîche|0
Tevi ɖiɖa|Igname bouillie.|0
Amɔ̌, nú mɛ ɖé gbɛ́ wǎn n'i ɔ́, é nɔ́ hu mɛ ɔ́ dó sú axɔ́ mɛ ɔ́; é nɔ́ ɖó yibowá ná ǎ.|Mais il use directement de représailles envers ceux qui le haïssent, et il les fait périr; il ne diffère point envers celui qui le hait, il use directement de représailles.|1
é yín mɛxó nu mì|elle est plus âgé que moi|0
Un ɖó jlǒ ɖebǔ bo na ɖ’alɔ ɖò kplé enɛ mɛ ǎ, ɖó é nɔ bɛ́ ɖò gan tɛnwe mɛ.|Je n’ai aucune envie de participer à cette réunion, étant donné qu’elle commence à sept heures.|1
Hwetɛnu a na yi ml'ayi ?|Quand vas-tu te coucher ?|0
E ɖo na hu dan lɛ ɖo ye nɔ gba kanlin afɔku do nu mɛ tɔ lɛ do ă|Il ne faut pas tuer les serpents car ils détruisent les animaux nuisibles.|2
Mǐ ko mɔ nǔ mɔhun kpɔ́n ǎ.|Nous n’avons jamais rien vu de tel.|0
gbă avɔ̀ ɖ'akɔ́nta|fixer son pagne sur la poitrine|0
Mɛ e b'acɔ́ ɔ́ nɔ́ t'afɔ ayĭ|Celui qui est bien habillé a l'habitude de faire l'important.|0
Nǔ e nɔ xlɛ́ ɖɔ ajɔ̌wiwa ɖò yiyi wɛ ganji lɛ é gbígbéjé kpɔ́n ɖó na xlɛ́ ali gbeta e kɔn gbɛ̌ta gle tɔn lɛ nɔ wá ayihɔngbe ayihɔngbe lɛ é.|L'analyse des indicateurs de performance commerciaux doit guider quotidiennement les décisions opérationnelles des équipes terrain.|0
azɔmε mítɔn|notre école|0
Kofi w'azɔ nu akwε ma han asi tɔn o|Kofi a travaillé pour que l'argent ne manque pas a sa femme .|2
E nɔ ɖu wɛn kpodo wíìn akú kpo|Sa nourriture était faite de sauterelles et de miel sauvage.|0
Nǔ e è nɔ xwlé mɛ é kɛɖɛ.|Offre exclusive.|2
dódó - dódódó - nùgbó - nùgbónúgbó|vraiment|0
Awǎjijɛ ɖaxó ɖé gɔ́ ayi tɔn mɛ hwenu e é mɔ vǐ tɔn lɛ é.|Une joie immense l'envahit en voyant ses enfants.|2
Yè bló xɔ̀ ɔ́ ɖó alɔkpa ɖĕvò jí|Ils ont transformé la maison.|2
A mɔ̀ din ɖɔ̀ mɛ e a jlò ná xwédó ɔ́, ɖó acɛkpikpa hú gan mɛ e kpó lɛ́ bĭ|Tu vois bien que celui que tu as choisi de suivre possède une autorité qui dépasse toute autre autorité.|2
Mǐ na kpɔ́n.|Nous allons voir.|0
Amɔ e ya ɔ, un ɖo na wa azɔ ce lε. E nɔ ci kɔ .|Mais après, je dois faire mes devoirs. C'est épuisant :|1
Ée é ɖɔ xó fó tlolo ɔ́, é ná ylɔ́ we.|Dès qu’elle aura terminé, elle t’appellera.|0
A na gbɔ̀n ali e ɖò ɖisí xwé ɔ́|Tu prendras le chemin de droite.|0
Suúluɖiɖo ma ɖó zɔ́n bɔ zozo ɖò xixo mì wɛ hwenu e un ɖò te kpɔ́n nǔ e tɛnkpɔn taji enɛ na tɔ́n kɔ dó é kpo adohu adohu kpo é.|L’impatience me rendait fébrile tandis que j’attendais fébrilement le résultat de cet examen important.|1
Un su we dó|Je t’ai vu.|0
Calúmu Yavɛ́ci ví ɔ́ blá Zakalíi gbé bó hu i ɖo agbawungba, bó jɛ tɛn tɔn mɛ.|Schallum, fils de Jabesch, conspira contre lui, le frappa devant le peuple, et le fit mourir; et il régna à sa place.|1
kanlìn - yɛjɛɛ̀ - yɛjɛyɛjɛ̀|bête|0
Un jló ná sɔ́ tavo ɖokpó ɖó te nú mɛ wè.|Je voudrais réserver une table pour deux.|0
un hɛ̀n wɛn ɖagbe wá nú wè|je viens t'annoncer une bonne nouvelle|2
Nǔ e è nɔ xwlé mɛ é.|Offre promotionnelle.|2
w'azɔ bo do mɔ kwε|a travaillé pour avoir de l'argent|2
Axɔ́sú jínjɔ́n ayǐ bó ɖo hwɛ ɖɔ wɛ ɔ́, tlóló jɛ́n nukún tɔn nɔ́ mɔ nǔ e jɛ do é.|Un roi assis sur le trône pour juger dissipe tout mal par son regard.|0
É hɛn kɔfu tɔn kpo alɔ we lɛ kpo, ɖi zozo e ɖò na tɔ́n wɛ é hɛn ɖó te ɖɔhun.|Il tenait sa tasse à deux mains, comme on retient une chaleur qui va fuir.|0
É xò kantín wè gbe ɖokpó|Il fait deux kantins (mesure de surface) par jour.|0
